customer_id,total_spend,avg_transaction,num_transactions,num_stores
C00001,651.6500000000001,325.82500000000005,2,2
C00002,3996.0899999999997,235.0641176470588,17,12
C00003,968.6700000000001,242.16750000000002,4,4
C00004,1094.36,273.59,4,4
C00006,112.34,112.34,1,1
C00008,1487.7,185.9625,8,7
C00009,471.98,157.32666666666668,3,3
C00010,402.54,201.27,2,2
C00012,3583.7799999999997,298.6483333333333,12,9
C00013,1186.4099999999999,296.60249999999996,4,3
C00014,390.83,390.83,1,1
C00016,391.66999999999996,195.83499999999998,2,2
C00017,509.55,254.775,2,2
C00018,1242.8899999999999,248.57799999999997,5,3
C00019,1529.94,305.988,5,4
C00020,351.65,175.825,2,2
C00021,887.73,295.91,3,3
C00023,750.1600000000001,250.05333333333337,3,3
C00024,405.25,405.25,1,1
C00025,546.45,273.225,2,2
C00026,2509.04,278.78222222222223,9,8
C00028,928.55,232.1375,4,4
C00029,330.6,330.6,1,1
C00031,487.01000000000005,243.50500000000002,2,2
C00034,3031.48,216.53428571428572,14,9
C00035,2959.71,197.314,15,10
C00036,998.93,249.7325,4,4
C00037,164.97,164.97,1,1
C00039,972.19,324.06333333333333,3,3
C00040,1197.2,299.3,4,3
C00042,1277.67,255.53400000000002,5,4
C00043,53.93,53.93,1,1
C00044,2335.84,333.6914285714286,7,5
C00046,1269.98,211.66333333333333,6,6
C00048,650.22,216.74,3,2
C00049,1589.63,227.09,7,6
C00051,4751.56,237.57800000000003,20,12
C00052,726.31,242.10333333333332,3,3
C00053,4817.22,209.44434782608695,23,11
C00054,1416.47,177.05875,8,6
C00055,1201.43,300.3575,4,4
C00056,3816.36,200.86105263157896,19,12
C00058,300.8,300.8,1,1
C00060,279.34000000000003,139.67000000000002,2,1
C00061,918.0,459.0,2,2
C00062,247.22,123.61,2,2
C00063,1577.42,225.3457142857143,7,4
C00064,1170.44,292.61,4,4
C00065,687.09,343.545,2,2
C00066,1182.87,236.57399999999998,5,4
C00067,318.66,318.66,1,1
C00068,255.25,127.625,2,2
C00070,4733.62,278.44823529411764,17,9
C00071,1712.39,244.62714285714287,7,7
C00072,404.91,404.91,1,1
C00074,1376.19,172.02375,8,7
C00075,1761.3,352.26,5,4
C00076,778.43,259.47666666666663,3,3
C00077,1083.81,135.47625,8,7
C00079,157.34,157.34,1,1
C00081,3558.98,296.58166666666665,12,9
C00082,430.18,215.09,2,2
C00083,435.18,435.18,1,1
