customer_id,recency_days,frequency_30d,frequency_60d,frequency_90d,monetary_30d,monetary_60d,monetary_90d,total_frequency,total_monetary,avg_order_value,num_stores_visited,avg_days_between_purchases,loyalty_status,total_loyalty_points,segment_id,customer_tenure_days,num_categories,top_category,is_weekend_shopper,future_spend_30d,loyalty_status_encoded,segment_id_encoded,top_category_encoded
C01936,121,0.0,0.0,0.0,0.0,0.0,0.0,7,1745.32,249.33142857142857,7,132.66666666666666,Bronze,106.0,HS,2181.0,9.0,Electronics,0,0.0,0,2,4
C02344,225,0.0,0.0,0.0,0.0,0.0,0.0,2,388.81,194.405,2,22.0,Silver,760.0,AR,2304.0,5.0,Home & Garden,0,0.0,3,0,6
C04270,0,2.0,2.0,3.0,757.22,757.22,1143.23,22,6261.0,284.59090909090907,10,44.285714285714285,Silver,806.0,AR,1859.0,11.0,Apparel,0,10.96,3,0,0
C01672,64,0.0,0.0,1.0,0.0,0.0,285.0,8,2194.69,274.33625,6,124.42857142857143,Gold,2708.0,AR,2389.0,9.0,Grocery,0,0.0,1,0,5
C04344,36,0.0,1.0,2.0,0.0,138.48,595.98,12,3387.33,282.2775,8,66.54545454545455,Gold,3701.0,LP,2083.0,10.0,Automotive,0,182.1,1,3,1
C00447,20,1.0,1.0,1.0,11.82,11.82,11.82,20,3568.87,178.4435,11,47.421052631578945,Bronze,301.0,HC,2737.0,11.0,Sports,0,571.89,0,1,8
C03867,199,0.0,0.0,0.0,0.0,0.0,0.0,4,826.32,206.58,4,228.33333333333334,Gold,2171.0,AR,2085.0,6.0,Beauty,0,0.0,1,0,2
C04234,35,0.0,2.0,2.0,0.0,397.41,397.41,12,3232.82,269.4016666666667,10,80.27272727272727,Bronze,425.0,HS,2093.0,10.0,Books,0,0.0,0,2,3
C00918,254,0.0,0.0,0.0,0.0,0.0,0.0,10,2730.46,273.046,8,73.66666666666667,Bronze,43.0,NR,1997.0,11.0,Toys,0,0.0,0,4,9
C02121,87,0.0,0.0,1.0,0.0,0.0,184.08,7,2027.04,289.57714285714286,6,93.0,Bronze,434.0,NR,1515.0,8.0,Beauty,0,309.93,0,4,2
C00815,281,0.0,0.0,0.0,0.0,0.0,0.0,6,1766.42,294.40333333333336,4,119.4,Bronze,104.0,HS,1612.0,9.0,Grocery,0,0.0,0,2,5
C03503,10,1.0,2.0,4.0,291.88,733.1700000000001,1201.79,28,5862.53,209.3760714285714,14,32.370370370370374,Bronze,375.0,AR,1399.0,11.0,Books,0,109.11,0,0,3
C02649,225,0.0,0.0,0.0,0.0,0.0,0.0,2,316.56,158.28,2,70.0,Bronze,256.0,AR,1485.0,7.0,Toys,0,0.0,0,0,9
C03142,10,1.0,2.0,2.0,466.6,516.9,516.9,8,2071.42,258.9275,6,98.85714285714286,Silver,874.0,AR,2284.0,10.0,Books,1,114.06,3,0,3
C01000,360,0.0,0.0,0.0,0.0,0.0,0.0,4,628.36,157.09,4,112.66666666666667,Bronze,0.0,HS,2585.0,8.0,Sports,0,0.0,0,2,8
C01061,134,0.0,0.0,0.0,0.0,0.0,0.0,9,2261.33,251.2588888888889,6,98.0,Bronze,96.0,AR,2044.0,11.0,Grocery,0,0.0,0,0,5
C00221,284,0.0,0.0,0.0,0.0,0.0,0.0,2,591.44,295.72,2,374.0,Silver,1678.0,AR,1606.0,6.0,Beauty,0,131.59,3,0,2
C02783,379,0.0,0.0,0.0,0.0,0.0,0.0,9,2051.92,227.9911111111111,9,53.5,Silver,1299.0,AR,2083.0,10.0,Grocery,0,0.0,3,0,5
C04289,65,0.0,0.0,1.0,0.0,0.0,247.57,6,1454.56,242.42666666666665,5,149.6,Bronze,397.0,NR,1818.0,11.0,Apparel,0,0.0,0,4,0
C03324,31,0.0,1.0,1.0,0.0,166.49,166.49,4,718.26,179.565,3,167.66666666666666,Silver,0.0,AR,1446.0,9.0,Apparel,0,0.0,3,0,0
C02142,50,0.0,1.0,1.0,0.0,104.78,104.78,4,972.08,243.02,4,208.0,Silver,1793.0,NR,1680.0,8.0,Beauty,0,0.0,3,4,2
C04762,26,1.0,1.0,1.0,305.92,305.92,305.92,25,7064.18,282.5672,10,36.541666666666664,Bronze,495.0,NR,1695.0,11.0,Apparel,0,180.64,0,4,0
C03570,156,0.0,0.0,0.0,0.0,0.0,0.0,14,2766.16,197.58285714285714,12,57.53846153846154,Bronze,368.0,LP,1387.0,11.0,Automotive,0,0.0,0,3,1
C04652,146,0.0,0.0,0.0,0.0,0.0,0.0,4,894.48,223.62,3,98.66666666666667,Silver,1512.0,AR,2013.0,7.0,Automotive,0,324.09,3,0,1
C02614,120,0.0,0.0,0.0,0.0,0.0,0.0,11,2715.92,246.9018181818182,7,73.8,Platinum,15338.0,HC,2477.0,11.0,Beauty,0,0.0,2,1,2
C01278,27,1.0,1.0,1.0,58.14,58.14,58.14,22,6260.19,284.5540909090909,14,41.80952380952381,Platinum,10085.0,AR,2275.0,11.0,Jewelry,0,0.0,2,0,7
C00267,30,0.0,3.0,3.0,0.0,589.64,589.64,9,2617.7200000000003,290.8577777777778,7,112.75,Bronze,315.0,NR,365.0,10.0,Beauty,0,0.0,0,4,2
C03606,207,0.0,0.0,0.0,0.0,0.0,0.0,2,520.6,260.3,2,721.0,Bronze,376.0,AR,1430.0,6.0,Electronics,1,0.0,0,0,4
C00578,7,1.0,1.0,2.0,496.72,496.72,669.26,16,3943.73,246.483125,11,53.13333333333333,Gold,3615.0,LP,2614.0,11.0,Sports,0,0.0,1,3,8
C01479,112,0.0,0.0,0.0,0.0,0.0,0.0,11,3283.5,298.5,9,76.9,Gold,4129.0,HC,1852.0,11.0,Apparel,0,0.0,1,1,0
C02637,0,2.0,3.0,3.0,682.0799999999999,1006.88,1006.88,18,4664.4,259.1333333333333,10,53.11764705882353,Bronze,459.0,HC,1846.0,11.0,Jewelry,0,0.0,0,1,7
C02796,215,0.0,0.0,0.0,0.0,0.0,0.0,4,1396.6999999999998,349.17499999999995,4,185.0,Bronze,322.0,NR,2072.0,8.0,Electronics,0,0.0,0,4,4
C02965,29,1.0,1.0,1.0,185.8,185.8,185.8,11,2470.01,224.54636363636365,10,90.2,Silver,1336.0,HS,1412.0,10.0,Apparel,0,0.0,3,2,0
C01866,3,1.0,1.0,1.0,184.36,184.36,184.36,17,4489.46,264.08588235294116,10,57.4375,Gold,3800.0,HS,2592.0,11.0,Automotive,0,120.56,1,2,1
C04851,3,1.0,1.0,1.0,277.33,277.33,277.33,13,3622.98,278.6907692307692,8,63.583333333333336,Bronze,410.0,HC,1464.0,10.0,Electronics,0,84.38,0,1,4
C03610,22,1.0,2.0,2.0,467.24,565.66,565.66,19,5223.71,274.9321052631579,12,45.111111111111114,Silver,1549.0,LP,2340.0,11.0,Apparel,0,0.0,3,3,0
C04620,265,0.0,0.0,0.0,0.0,0.0,0.0,6,1821.47,303.5783333333333,5,118.6,Bronze,0.0,LP,2618.0,9.0,Electronics,0,0.0,0,3,4
C03790,5,1.0,1.0,4.0,203.59,203.59,1162.18,21,4554.38,216.8752380952381,12,45.5,Gold,2147.0,LP,2330.0,11.0,Sports,0,0.0,1,3,8
C02928,16,1.0,2.0,2.0,32.27,383.51,383.51,12,2693.69,224.47416666666666,10,77.27272727272727,Bronze,243.0,LP,1536.0,11.0,Beauty,0,0.0,0,3,2
C00973,72,0.0,0.0,1.0,0.0,0.0,390.63,12,3464.15,288.6791666666667,11,53.63636363636363,Bronze,376.0,AR,2660.0,11.0,Apparel,0,0.0,0,0,0
C03323,97,0.0,0.0,0.0,0.0,0.0,0.0,5,1203.4499999999998,240.68999999999997,4,119.0,Bronze,260.0,LP,1893.0,9.0,Home & Garden,0,206.1,0,3,6
C03081,114,0.0,0.0,0.0,0.0,0.0,0.0,8,2015.2,251.9,6,112.42857142857143,Silver,1167.0,LP,1660.0,9.0,Sports,0,0.0,3,3,8
C02973,96,0.0,0.0,0.0,0.0,0.0,0.0,3,806.49,268.83,3,394.0,Silver,1683.0,NR,1833.0,7.0,Apparel,1,289.68,3,4,0
C02433,11,1.0,2.0,3.0,110.58,204.70999999999998,613.45,14,3980.7,284.3357142857143,9,64.23076923076923,Bronze,231.0,AR,1493.0,10.0,Books,0,361.27,0,0,3
C02621,280,0.0,0.0,0.0,0.0,0.0,0.0,7,1437.19,205.31285714285715,5,79.16666666666667,Bronze,205.0,NR,1565.0,10.0,Home & Garden,0,423.85,0,4,6
C01648,26,1.0,1.0,1.0,130.77,130.77,130.77,6,1603.6200000000001,267.27000000000004,6,143.0,Bronze,404.0,HS,2394.0,8.0,Automotive,0,0.0,0,2,1
C02566,733,0.0,0.0,0.0,0.0,0.0,0.0,3,663.3900000000001,221.13000000000002,3,100.0,Bronze,53.0,AR,2525.0,9.0,Grocery,1,0.0,0,0,5
C01005,68,0.0,0.0,2.0,0.0,0.0,569.5799999999999,8,1867.29,233.41125,6,91.71428571428571,Silver,881.0,LP,2221.0,9.0,Books,0,0.0,3,3,3
C02147,184,0.0,0.0,0.0,0.0,0.0,0.0,6,1627.68,271.28000000000003,6,137.8,Bronze,7.0,HC,2237.0,10.0,Grocery,0,0.0,0,1,5
C03280,245,0.0,0.0,0.0,0.0,0.0,0.0,5,689.14,137.828,3,69.25,Silver,1169.0,HS,2514.0,11.0,Apparel,0,0.0,3,2,0
C02156,835,0.0,0.0,0.0,0.0,0.0,0.0,3,741.35,247.11666666666667,3,24.5,Silver,1176.0,LP,1745.0,7.0,Beauty,0,0.0,3,3,2
C01364,548,0.0,0.0,0.0,0.0,0.0,0.0,3,1143.04,381.0133333333333,3,76.0,Bronze,22.0,HS,1749.0,10.0,Electronics,0,0.0,0,2,4
