customer_id,recency_days,frequency_total,first_purchase_date,frequency_30d,frequency_60d,frequency_90d,frequency_180d,frequency_365d,monetary_total,avg_order_value,max_order_value,min_order_value,std_order_value,monetary_30d,avg_order_value_30d,monetary_60d,avg_order_value_60d,monetary_90d,avg_order_value_90d,monetary_180d,avg_order_value_180d,monetary_365d,avg_order_value_365d,unique_categories,unique_products,total_items_purchased,top_category,pct_spend_apparel,pct_spend_automotive,pct_spend_beauty,pct_spend_books,pct_spend_electronics,pct_spend_grocery,pct_spend_home_&_garden,pct_spend_jewelry,pct_spend_sports,pct_spend_toys,pct_spend_unknown,unique_stores,unique_regions,primary_store_id,primary_region,loyalty_status,total_loyalty_points,segment_id,tenure_days,avg_days_between_purchases,std_days_between_purchases,avg_purchase_hour,preferred_time_of_day,preferred_day,weekend_transaction_pct,future_spend_30d,future_transactions_30d,will_purchase_30d
C00001,115,2,2024-01-06 00:00:00,0.0,0.0,0.0,1.0,2.0,651.6500000000001,325.82500000000005,389.61,262.04,90.20561207596785,0.0,0.0,0.0,0.0,0.0,0.0,389.61,389.61,651.6500000000001,325.82500000000005,4,5,17.0,Toys,0.11144197568569564,0.0,0.03341732203303555,0.0,0.0,0.0,0.0,0.0,0.0,0.3029531784208428,0.552187523860426,2,2,S012,Northeast,Silver,1790.0,LP,2227.0,245.0,0.0,8.5,night,Saturday,1.0,0.0,0.0,0
C00002,6,16,2023-06-18 21:33:00,2.0,3.0,4.0,8.0,10.0,3848.24,240.515,466.04,11.64,138.10994644364564,230.51,115.255,562.69,187.56333333333336,655.7,163.925,1501.28,187.66,2206.21,220.621,11,56,211.0,Beauty,0.08692412719852012,0.12535602078867777,0.0680205244149514,0.03161611416155269,0.10239818539507296,0.03425066799776845,0.05404836010218163,0.3495859881962592,0.11914877998649322,0.012708841060574919,0.015942390697947558,11,5,S006,Northeast,Silver,1853.0,AR,2221.0,36.53333333333333,48.94146163189925,14.8125,afternoon,Thursday,0.4375,0.0,0.0,0
C00003,210,3,2023-05-20 16:33:00,0.0,0.0,0.0,0.0,1.0,846.03,282.01,404.06,116.25,148.8004438837465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.06,404.06,8,12,35.0,Beauty,0.20150510093960888,0.06995026164198934,0.09759653893933071,0.0,0.25442824870138275,0.05258260548416957,0.1062395978723302,0.10214349780086429,0.11555414862032413,0.0,0.0,3,3,S003,Midwest,Bronze,43.0,NR,1926.0,190.0,172.5340546095176,17.666666666666668,afternoon,Tuesday,0.3333333333333333,0.0,0.0,0
C00004,61,4,2023-12-17 17:36:00,0.0,0.0,1.0,1.0,2.0,1094.36,273.59,342.81,220.44,52.872902322456255,0.0,0.0,0.0,0.0,247.65,247.65,247.65,247.65,590.46,295.23,8,18,50.0,Automotive,0.005890467835474064,0.09368763644643265,0.029283580890133,0.0,0.4148185848412199,0.016554384367089454,0.0,0.2223644911134029,0.1275142975771132,0.08988655692913493,0.0,4,3,S001,Northeast,Bronze,371.0,NR,2448.0,105.66666666666667,140.3222481765929,13.75,evening,Tuesday,0.5,0.0,0.0,0
C00006,81,1,2024-10-11 18:28:00,0.0,0.0,1.0,1.0,1.0,112.34,112.34,112.34,112.34,0.0,0.0,0.0,0.0,0.0,112.34,112.34,112.34,112.34,112.34,112.34,6,8,26.0,Sports,0.0,0.2086495744011242,0.0,0.025821372894877445,0.0,0.0,0.2287914162964481,0.0,0.047609986020742,0.2506971331542622,0.23843051723254605,1,1,S006,Northeast,Bronze,9.0,HC,1805.0,0.0,0.0,18.0,evening,Friday,0.0,0.0,0.0,0
C00008,96,5,2023-10-19 21:50:00,0.0,0.0,0.0,3.0,4.0,1075.3400000000001,215.06800000000004,339.21,36.64,135.17434564295104,0.0,0.0,0.0,0.0,0.0,0.0,699.49,233.16333333333333,1038.7,259.675,11,25,90.0,Beauty,0.02843784841899828,0.0361522981692633,0.12295112483613899,0.06838564802749535,0.31395870604164666,0.033309101169610125,0.09668829272976304,0.16765260874591695,0.039169888368757365,0.008268980936275943,0.08502550255613404,4,3,S013,South,Bronze,405.0,LP,2178.0,85.0,66.66833331250052,15.8,evening,Wednesday,0.2,178.5,1.0,1
C00009,263,2,2023-10-17 19:14:00,0.0,0.0,0.0,0.0,1.0,398.32000000000005,199.16000000000003,296.1,102.22,137.09386273644787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.22,102.22,8,13,36.0,Sports,0.17115251166708162,0.0869588248692916,0.01756021591384635,0.0,0.3008915186540876,0.0,0.025082239020230004,0.26729932884483976,0.09116744976930698,0.03988791126131614,0.0,2,2,S006,Northeast,Bronze,207.0,LP,1207.0,178.0,0.0,19.5,evening,Tuesday,0.0,0.0,0.0,0
C00010,127,2,2024-04-12 12:19:00,0.0,0.0,0.0,1.0,2.0,402.54,201.27,313.6,88.94,158.85860946136978,0.0,0.0,0.0,0.0,0.0,0.0,313.6,313.6,402.54,201.27,7,13,48.0,Grocery,0.22121377528995823,0.0,0.019768176126208084,0.0,0.22987952151095797,0.07584757705164843,0.09914056061562831,0.2917170592831227,0.0,0.06243333012247636,0.0,2,1,S013,South,Silver,1882.0,AR,2363.0,135.0,0.0,10.0,morning,Monday,0.0,0.0,0.0,0
C00012,2,10,2023-02-23 09:22:00,2.0,2.0,2.0,3.0,5.0,3014.9,301.49,429.22,110.38,112.91433734374824,360.63,180.315,360.63,180.315,360.63,180.315,676.87,225.62333333333333,1455.27,291.054,11,43,136.0,Apparel,0.053971495317567994,0.04914043055089342,0.6755720960899783,0.02110985261151558,0.026606264020590138,0.01108724362849572,0.004256938229185713,0.13376068085406023,0.0046714295830801115,0.014580413523140502,0.005243155591492366,8,4,S006,Northeast,Bronze,103.0,LP,2091.0,74.55555555555556,52.927098709241356,13.9,afternoon,Saturday,0.6,0.0,0.0,0
C00013,258,3,2024-01-22 17:55:00,0.0,0.0,0.0,0.0,3.0,830.0699999999999,276.69,450.84,154.65,154.81833902997408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0699999999999,276.69,5,7,21.0,Beauty,0.0,0.0,0.07991654131690037,0.06847493813382503,0.557406958125091,0.0,0.1738075598039691,0.0,0.0,0.12039400262021446,0.0,2,2,S002,West,Bronze,447.0,AR,2366.0,42.5,31.81980515339464,15.0,morning,Monday,0.3333333333333333,356.34,1.0,1
C00014,630,1,2023-04-11 14:24:00,0.0,0.0,0.0,0.0,0.0,390.83,390.83,390.83,390.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,11.0,Sports,0.0,0.0,0.0,0.0,0.6659082246682297,0.0,0.0,0.21414629075663252,0.11994548457513773,0.0,0.0,1,1,S001,Northeast,Bronze,3.0,NR,2113.0,0.0,0.0,14.0,afternoon,Tuesday,0.0,0.0,0.0,0
C00016,24,2,2024-08-20 19:38:00,1.0,1.0,1.0,2.0,2.0,391.66999999999996,195.83499999999998,306.02,85.65,155.82512137007944,85.65,85.65,85.65,85.65,85.65,85.65,391.66999999999996,195.83499999999998,391.66999999999996,195.83499999999998,9,11,39.0,Home & Garden,0.02464919139130077,0.0,0.017678284844245093,0.0618287313279289,0.2651536973787087,0.00398749022673964,0.20962100325089505,0.23857454425743796,0.07342907699271635,0.10507798033002758,0.0,2,2,S011,South,Silver,797.0,HS,2476.0,108.0,0.0,16.0,afternoon,Tuesday,0.5,0.0,0.0,0
C00017,41,2,2024-05-08 18:40:00,0.0,1.0,1.0,1.0,2.0,509.55,254.775,485.88,23.67,326.83182533223413,0.0,0.0,23.67,23.67,23.67,23.67,23.67,23.67,509.55,254.775,4,5,19.0,Grocery,0.0,0.02238542880513215,0.9673144953032279,0.002325375420486575,0.0,0.007974700471153362,0.0,0.0,0.0,0.0,0.0,2,2,S005,Southwest,Bronze,476.0,HS,1580.0,195.0,0.0,16.5,afternoon,Wednesday,0.0,0.0,0.0,0
C00018,154,3,2023-12-11 18:27:00,0.0,0.0,0.0,1.0,2.0,585.04,195.01333333333332,306.45,67.48,120.29543729224865,0.0,0.0,0.0,0.0,0.0,0.0,67.48,67.48,373.93,186.965,5,9,31.0,Books,0.12146120686563525,0.0,0.0,0.06055487415632015,0.0,0.0,0.11053012860513989,0.5970527689913139,0.11040102138159073,0.0,0.0,2,2,S007,Southwest,Silver,684.0,HC,2171.0,115.5,43.1335136523794,14.333333333333334,morning,Monday,0.0,0.0,0.0,0
C00019,56,2,2024-10-27 10:10:00,0.0,1.0,2.0,2.0,2.0,630.12,315.06,361.37,268.75,65.49223007349804,0.0,0.0,268.75,268.75,630.12,315.06,630.12,315.06,630.12,315.06,7,9,29.0,Apparel,0.142538034291234,0.0,0.0,0.054566127344441766,0.19450313933832408,0.04984705787651936,0.031011027932061497,0.33512436609514606,0.1924102471222732,0.0,0.0,2,2,S009,South,Platinum,19354.0,NR,1838.0,9.0,0.0,15.0,morning,Tuesday,0.5,0.0,0.0,0
C00020,257,2,2023-06-23 19:10:00,0.0,0.0,0.0,0.0,1.0,351.65,175.825,248.92,102.73,103.37194034166139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.92,248.92,5,8,31.0,Sports,0.18857486470234516,0.0,0.0,0.0,0.0,0.031076368009621165,0.250631389055923,0.0,0.4714852675886951,0.05823211064341551,0.0,2,2,S007,Northeast,Silver,1223.0,NR,1898.0,300.0,0.0,20.0,evening,Thursday,0.0,0.0,0.0,0
C00021,354,3,2023-10-02 11:41:00,0.0,0.0,0.0,0.0,1.0,887.73,295.91,472.23,80.34,198.8714783471979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.16,335.16,6,9,32.0,Beauty,0.22556734992679356,0.0,0.10752196193265008,0.09166056612981943,0.0,0.14422685863022616,0.04341548722954287,0.0,0.387607776150968,0.0,0.0,3,3,S005,Northeast,Bronze,446.0,AR,1634.0,50.5,2.1213203435596424,9.666666666666666,morning,Friday,0.0,0.0,0.0,0
C00023,92,2,2023-10-26 13:52:00,0.0,0.0,0.0,1.0,1.0,566.37,283.185,412.22,154.15,182.4830470208123,0.0,0.0,0.0,0.0,0.0,0.0,154.15,154.15,154.15,154.15,6,8,22.0,Automotive,0.0,0.36632158707572876,0.0,0.03500162134169655,0.34140132320841743,0.005831990281629473,0.01724429989497578,0.234199178197552,0.0,0.0,0.0,2,2,S008,Northeast,Silver,0.0,HS,1580.0,340.0,0.0,13.5,afternoon,Monday,0.0,0.0,0.0,0
C00024,670,1,2023-03-02 14:26:00,0.0,0.0,0.0,0.0,0.0,405.25,405.25,405.25,405.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,10.0,Apparel,0.1253527109439,0.0,0.0,0.0,0.8746472890561,0.0,0.0,0.0,0.0,0.0,0.0,1,1,S009,Southwest,Bronze,294.0,NR,2380.0,0.0,0.0,14.0,afternoon,Thursday,0.0,0.0,0.0,0
C00025,89,2,2024-05-14 21:25:00,0.0,0.0,1.0,1.0,2.0,546.45,273.225,498.24,48.21,318.219264737382,0.0,0.0,0.0,0.0,48.21,48.21,48.21,48.21,546.45,273.225,6,7,22.0,Electronics,0.03906282006112399,0.0,0.0,0.03811646332970085,0.17787819446606634,0.0,0.029365736150827142,0.5937876391881817,0.12178914680410005,0.0,0.0,2,1,S002,West,Gold,4302.0,NR,2263.0,141.0,0.0,16.0,morning,Tuesday,0.0,0.0,0.0,0
