line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
1,T000001,,PR014,3.0,99.84
2,T000002,P0030,,3.0,65.97
3,T000002,P0040,PR025,0.0,0.0
4,T000002,P0059,PR023,3.0,184.92
5,T000002,P0196,PR007,1.0,292.06
6,T000002,P0180,,5.0,970.55
7,T000003,P0030,PR005,1.0,21.99
8,T000003,P0168,PR028,0.0,0.0
9,T000003,P0175,PR014,3.0,98.4
10,T000003,P0144,PR003,5.0,60.25
11,T000003,P0169,,5.0,218.4
12,T000003,P0144,PR026,2.0,24.1
13,T000003,P0117,PR004,1.0,17.64
14,T000004,P0098,PR005,4.0,88.4
15,T000004,P0021,PR023,,162.56
16,T000004,P0104,,2.0,48.42
17,T000004,P0094,PR001,3.0,105.81
18,T000004,P0070,PR029,5.0,89.8
19,T000004,P0013,PR017,1.0,
20,T000005,P0115,PR012,2.0,65.06
21,T000005,P0140,PR005,-5.0,-84.85
22,T000005,P0129,PR007,2.0,60.1
23,T000005,P0030,PR003,4.0,87.96
24,T000005,P0159,PR017,5.0,320.1
25,T000005,P0086,PR016,0.0,0.0
26,T000005,P0122,PR018,2.0,60.18
27,T000006,P0006,,4.0,618.88
28,T000006,P0174,PR015,4.0,614.68
29,T000006,P0090,PR023,4.0,56.96
30,T000006,P0169,PR007,5.0,218.4
31,T000006,P0018,PR010,-2.0,-302.7
32,T000006,P0089,PR018,4.0,92.88
33,T000007,P0056,PR027,2.0,27.34
34,T000007,P0087,PR022,5.0,78.55
35,T000007,P0083,PR029,3.0,43.26
36,T000007,P0149,PR009,1.0,13.33
37,T000007,P0108,PR001,2.0,87.5
38,T000007,P0043,PR020,1.0,41.1
39,T000008,P0118,PR005,4.0,88.36
40,T000008,P0193,PR003,4.0,86.32
41,T000008,P0067,,4.0,140.48
42,T000008,P0157,PR009,5.0,253.1
43,T000008,P0062,PR006,3.0,212.04
44,T000008,P0049,PR001,1.0,39.2
45,T000008,P0114,PR022,2.0,108.76
46,T000009,P0159,,-2.0,-128.04
47,T000010,P0088,PR006,1.0,7.14
48,T000010,P0172,PR009,2.0,72.92
49,T000010,P0095,PR005,3.0,
50,T000011,P0152,,3.0,83.04
51,T000011,P0017,PR018,1.0,36.34
52,T000011,P0127,PR007,5.0,106.5
53,T000011,P0185,,2.0,225.9
54,T000011,P0099,PR018,3.0,101.7
55,T000011,P0029,PR012,1.0,129.24
56,T000011,P0136,PR002,4.0,38.76
57,T000012,P0102,PR017,1.0,55.37
58,T000012,P0068,,5.0,344.0
59,T000012,P0091,,5.0,156.55
60,T000012,P0026,PR017,4.0,462.36
61,T000013,P0106,PR025,3.0,126.42
62,T000013,P0066,PR017,4.0,128.36
63,T000013,P0084,,5.0,92.35
64,T000013,P0046,PR021,1.0,97.9
65,T000013,P0029,,2.0,258.48
66,T000013,P0111,,4.0,65.68
67,T000013,P0141,PR011,1.0,18.31
68,,P0136,PR030,1.0,9.69
69,T000014,P0170,,2.0,142.54
70,T000014,P0147,PR029,1.0,9.7
71,T000014,P0092,PR027,4.0,171.84
72,T000014,P0167,PR002,2.0,66.56
73,T000014,P0035,PR027,,94.08
74,T000014,P0137,PR014,5.0,47.55
75,T000014,P0135,PR022,2.0,57.06
76,T000015,P0187,PR003,2.0,579.76
77,T000015,P0079,PR022,1.0,48.44
78,T000015,P0069,PR016,3.0,119.94
79,T000015,,,5.0,489.5
80,T000015,P0085,PR010,3.0,91.98
81,T000015,P0062,PR012,2.0,141.36
82,T000015,P0057,,4.0,212.8
83,T000015,P0141,,3.0,54.93
84,T000016,P0189,,4.0,466.72
85,T000016,P0153,,2.0,49.54
86,T000016,P0095,PR016,5.0,
87,T000016,P0120,PR024,1.0,29.08
88,T000016,P0030,PR012,2.0,43.98
89,T000016,P0007,,1.0,28.11
