line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount,rejection_reason
68,,P0136,PR030,1.0,9.69,Missing transaction_id
222,,P0057,PR008,1.0,53.2,Missing transaction_id
344,,P0148,PR029,4.0,55.28,Missing transaction_id
475,,P0096,,2.0,31.2,Missing transaction_id
487,,P0017,PR027,2.0,72.68,Missing transaction_id
552,,P0014,PR017,4.0,67.16,Missing transaction_id
644,,P0011,PR007,1.0,,Missing transaction_id
841,,P0118,PR021,3.0,66.27,Missing transaction_id
886,,P0111,,5.0,82.1,Missing transaction_id
909,,P0075,PR008,4.0,116.52,Missing transaction_id
1008,,P0015,,-4.0,-707.28,Missing transaction_id
1180,,P0176,PR006,1.0,161.3,Missing transaction_id
1185,,P0120,PR016,1.0,,Missing transaction_id
1357,,P0006,PR010,4.0,618.88,Missing transaction_id
1387,,P0076,PR023,3.0,230.61,Missing transaction_id
1705,,P0051,PR020,1.0,36.36,Missing transaction_id
1731,,P0082,PR005,4.0,47.32,Missing transaction_id
1797,,P0074,PR006,4.0,134.84,Missing transaction_id
1874,,P0034,PR018,3.0,286.05,Missing transaction_id
1914,,P0182,PR011,2.0,333.9,Missing transaction_id
1923,,P0090,PR003,2.0,29.36,Missing transaction_id
2003,,P0153,PR009,2.0,49.54,Missing transaction_id
2078,,P0151,PR029,5.0,118.5,Missing transaction_id
2090,,P0010,PR015,4.0,461.24,Missing transaction_id
2106,,P0143,PR005,5.0,16.1,Missing transaction_id
2114,,P0103,,3.0,48.15,Missing transaction_id
2287,,P0097,PR007,2.0,62.52,Missing transaction_id
2352,,P0135,,5.0,142.65,Missing transaction_id
2364,,P0172,PR015,5.0,182.3,Missing transaction_id
2409,,P0189,PR006,3.0,350.04,Missing transaction_id
2500,,P0054,,2.0,97.02,Missing transaction_id
2538,,P0068,,1.0,68.8,Missing transaction_id
2564,,P0170,PR004,,142.54,Missing transaction_id
2606,,P0017,,1.0,36.34,Missing transaction_id
2741,,P0016,PR025,4.0,705.4,Missing transaction_id
2744,,P0184,PR001,4.0,212.96,Missing transaction_id
2760,,P0050,PR013,1.0,8.54,Missing transaction_id
2763,,,PR008,3.0,641.7,Missing transaction_id
2765,,P0059,PR012,1.0,61.64,Missing transaction_id
2769,,P0020,,1.0,32.28,Missing transaction_id
2876,,P0171,PR029,3.0,75.9,Missing transaction_id
2958,,P0061,PR013,4.0,297.28,Missing transaction_id
3118,,P0005,,3.0,532.68,Missing transaction_id
3126,,P0126,PR018,5.0,141.7,Missing transaction_id
3291,,P0176,,1.0,161.3,Missing transaction_id
3359,,P0093,,5.0,230.5,Missing transaction_id
3426,,P0185,PR008,1.0,112.95,Missing transaction_id
3465,,P0031,PR002,1.0,73.52,Missing transaction_id
3470,,P0013,,2.0,,Missing transaction_id
3671,,P0160,PR012,1.0,30.36,Missing transaction_id
3681,,P0025,PR008,1.0,131.36,Missing transaction_id
3721,,P0159,,2.0,128.04,Missing transaction_id
3744,,P0057,,3.0,159.6,Missing transaction_id
3882,,P0084,PR023,2.0,36.94,Missing transaction_id
4048,,P0036,PR014,1.0,141.97,Missing transaction_id
4060,,P0039,PR018,5.0,731.2,Missing transaction_id
4198,,P0008,PR020,4.0,104.84,Missing transaction_id
4211,,P0070,PR011,2.0,35.92,Missing transaction_id
4269,,P0154,PR007,-3.0,,Missing transaction_id
4447,,P0165,PR021,3.0,193.35,Missing transaction_id
4582,,P0071,PR024,2.0,75.74,Missing transaction_id
4584,,P0049,,3.0,120.06,Missing transaction_id
4586,,P0006,PR022,1.0,154.72,Missing transaction_id
4937,,P0150,PR015,3.0,60.09,Missing transaction_id
5007,,P0130,PR008,2.0,24.68,Missing transaction_id
5055,,P0158,PR026,2.0,180.16,Missing transaction_id
5117,,P0054,PR013,1.0,48.51,Missing transaction_id
5151,,P0103,PR030,4.0,64.2,Missing transaction_id
5620,,P0175,PR028,5.0,164.0,Missing transaction_id
5787,,P0015,,2.0,353.64,Missing transaction_id
5887,,P0193,,2.0,43.16,Missing transaction_id
5980,,P0152,PR003,1.0,27.68,Missing transaction_id
5982,,P0082,PR010,1.0,11.83,Missing transaction_id
6044,,P0192,,2.0,434.6,Missing transaction_id
6185,,P0138,PR015,3.0,13.89,Missing transaction_id
6471,,P0155,PR021,1.0,96.87,Missing transaction_id
6543,,P0155,PR002,2.0,193.74,Missing transaction_id
6654,,P0122,,1.0,30.09,Missing transaction_id
6717,,P0146,PR021,4.0,23.76,Missing transaction_id
6761,,P0098,PR009,1.0,22.1,Missing transaction_id
6810,,P0149,PR028,5.0,66.65,Missing transaction_id
6821,,P0175,PR003,2.0,65.6,Missing transaction_id
6854,,P0154,PR021,2.0,162.54,Missing transaction_id
7000,,P0097,PR007,5.0,156.3,Missing transaction_id
7140,,P0100,,2.0,5570.0,Missing transaction_id
7144,,P0122,PR025,5.0,150.45,Missing transaction_id
7327,,P0091,PR003,3.0,93.93,Missing transaction_id
7365,,P0063,PR025,5.0,382.45,Missing transaction_id
7390,,P0059,PR014,4.0,246.56,Missing transaction_id
7529,,P0043,,3.0,123.3,Missing transaction_id
7585,,P0135,PR016,5.0,142.65,Missing transaction_id
7620,,P0081,PR020,2.0,88.86,Missing transaction_id
7985,,P0134,PR001,1.0,21.4,Missing transaction_id
8071,,P0150,,1.0,,Missing transaction_id
8190,,P0060,,3.0,35.82,Missing transaction_id
8208,,P0050,PR020,5.0,42.7,Missing transaction_id
8421,,P0183,PR016,2.0,563.24,Missing transaction_id
8704,,P0081,PR012,4.0,177.72,Missing transaction_id
9018,,P0082,,1.0,11.83,Missing transaction_id
9080,,P0126,PR016,3.0,85.02,Missing transaction_id
9081,,P0134,PR024,,69.78,Missing transaction_id
9133,,P0018,PR003,5.0,756.75,Missing transaction_id
9315,,P0105,PR005,1.0,,Missing transaction_id
9319,,P0145,,,93.4,Missing transaction_id
9595,,P0145,PR018,2.0,37.36,Missing transaction_id
9713,,P0057,PR012,4.0,212.8,Missing transaction_id
9773,,P0190,,3.0,70.74,Missing transaction_id
9811,,P0077,,2.0,115.32,Missing transaction_id
9876,,P0133,,5.0,199.3,Missing transaction_id
9974,,P0186,PR017,0.0,0.0,Missing transaction_id
10101,,P0190,PR029,,117.9,Missing transaction_id
10193,,P0081,PR012,1.0,44.43,Missing transaction_id
10330,,P0077,PR011,2.0,115.32,Missing transaction_id
10391,,P0038,PR010,2.0,110.52,Missing transaction_id
10441,,P0195,PR013,4.0,1153.96,Missing transaction_id
10776,,P0002,,1.0,119.93,Missing transaction_id
10871,,P0079,PR026,3.0,145.32,Missing transaction_id
10910,,P0034,,3.0,286.05,Missing transaction_id
11115,,P0126,PR014,4.0,113.36,Missing transaction_id
11396,,P0185,PR005,3.0,338.85,Missing transaction_id
11582,,P0152,PR018,5.0,138.4,Missing transaction_id
11584,,P0023,PR023,1.0,18.99,Missing transaction_id
11674,,P0138,PR011,5.0,23.15,Missing transaction_id
11713,,P0056,PR025,5.0,68.35,Missing transaction_id
11773,,P0085,PR020,5.0,153.3,Missing transaction_id
11940,,P0058,,5.0,110.7,Missing transaction_id
12030,,P0017,PR014,5.0,181.7,Missing transaction_id
12053,,P0054,PR013,4.0,194.04,Missing transaction_id
12338,,P0100,,2.0,5570.0,Missing transaction_id
12359,,P0134,PR020,5.0,116.3,Missing transaction_id
12404,,P0042,PR007,3.0,158.16,Missing transaction_id
12451,,P0145,PR024,,74.72,Missing transaction_id
12454,,P0004,,4.0,765.84,Missing transaction_id
12609,,P0093,,1.0,46.1,Missing transaction_id
12819,,P0014,PR012,4.0,67.16,Missing transaction_id
12960,,P0132,PR007,5.0,172.0,Missing transaction_id
12991,,P0107,PR030,1.0,64.87,Missing transaction_id
13222,,P0148,PR017,1.0,13.82,Missing transaction_id
13331,,P0164,PR004,4.0,360.24,Missing transaction_id
13362,,P0052,PR030,2.0,197.88,Missing transaction_id
13410,,P0004,PR009,0.0,0.0,Missing transaction_id
13440,,P0021,PR013,2.0,81.28,Missing transaction_id
13445,,P0070,PR008,1.0,17.96,Missing transaction_id
13461,,P0174,PR028,5.0,768.35,Missing transaction_id
13510,,P0028,PR022,5.0,503.3,Missing transaction_id
13718,,P0128,PR018,3.0,102.96,Missing transaction_id
13746,,P0033,PR009,2.0,40.74,Missing transaction_id
13865,,P0122,PR003,2.0,60.18,Missing transaction_id
13925,,P0180,PR005,5.0,970.55,Missing transaction_id
14021,,,PR005,5.0,59.7,Missing transaction_id
14192,,P0163,PR011,4.0,249.76,Missing transaction_id
14406,,P0128,PR011,1.0,34.32,Missing transaction_id
14642,,P0121,PR009,2.0,38.72,Missing transaction_id
14667,,P0078,PR003,3.0,86.26,Missing transaction_id
14720,,P0003,PR012,2.0,70.58,Missing transaction_id
14838,,P0158,PR013,2.0,180.16,Missing transaction_id
14875,,P0093,,2.0,92.2,Missing transaction_id
14891,,P0059,PR007,4.0,246.56,Missing transaction_id
14961,,P0172,,0.0,0.0,Missing transaction_id
14967,,P0084,PR004,2.0,36.94,Missing transaction_id
15352,,P0064,,1.0,30.35,Missing transaction_id
15445,,P0170,PR018,5.0,356.35,Missing transaction_id
15491,,P0122,,2.0,60.18,Missing transaction_id
15508,,P0181,,2.0,370.82,Missing transaction_id
15513,,P0026,PR023,3.0,346.77,Missing transaction_id
15583,,P0016,PR021,5.0,881.75,Missing transaction_id
15928,,P0196,,3.0,876.18,Missing transaction_id
16000,,P0131,,2.0,72.32,Missing transaction_id
16117,,P0081,PR015,2.0,88.86,Missing transaction_id
16264,,P0005,PR022,1.0,177.56,Missing transaction_id
16359,,P0124,PR013,5.0,111.95,Missing transaction_id
16423,,P0103,,1.0,16.05,Missing transaction_id
16483,,P0087,PR015,1.0,15.71,Missing transaction_id
16509,,P0035,PR014,3.0,141.12,Missing transaction_id
16773,,P0035,PR025,4.0,188.16,Missing transaction_id
16835,,P0174,,3.0,461.01,Missing transaction_id
16887,,P0115,PR024,4.0,130.12,Missing transaction_id
16944,,P0162,PR026,-1.0,-84.03,Missing transaction_id
16967,,P0071,PR002,4.0,151.48,Missing transaction_id
17113,,P0022,PR009,1.0,32.28,Missing transaction_id
17474,,P0019,PR020,4.0,515.48,Missing transaction_id
17508,,P0059,PR017,2.0,123.28,Missing transaction_id
17627,,P0151,PR001,3.0,71.1,Missing transaction_id
17716,,P0086,PR001,-1.0,-26.63,Missing transaction_id
17741,,P0068,PR030,5.0,344.0,Missing transaction_id
17755,,P0135,PR010,3.0,85.59,Missing transaction_id
17844,,P0089,PR015,5.0,135.65,Missing transaction_id
17867,,P0194,PR008,1.0,136.46,Missing transaction_id
17946,,P0033,PR024,2.0,40.74,Missing transaction_id
17968,,P0186,PR023,5.0,1110.2,Missing transaction_id
18041,,P0063,,1.0,76.49,Missing transaction_id
18203,,P0193,PR001,3.0,64.74,Missing transaction_id
