feature,importance
total_monetary,0.14986314570011858
total_frequency,0.10718900806477541
avg_days_between_purchases,0.10492483141354397
avg_order_value,0.10135802857953788
recency_days,0.08750330961309104
customer_tenure_days,0.08516934513690348
num_stores_visited,0.07874280919627345
total_loyalty_points,0.07721312148119226
num_categories,0.05395477311210245
top_category_encoded,0.049739304800203256
monetary_90d,0.031564113193580295
segment_id_encoded,0.028283135459512696
loyalty_status_encoded,0.016906155592528227
monetary_60d,0.014146138754421134
frequency_90d,0.006060177989827441
is_weekend_shopper,0.0052267568063194755
frequency_60d,0.0021558451060690125
monetary_30d,0.0
frequency_30d,0.0
