feature,importance
total_quantity,0.14304153158026012
total_products,0.09133829882134929
min_order,0.08592141404470231
total_monetary,0.08540360294699931
avg_days_between_purchases,0.0671422791564886
num_stores_visited,0.06138107480932006
total_frequency,0.05828530540027193
customer_tenure_days,0.05267379233363503
order_value_cv,0.04584435804633377
avg_order_value,0.04356422292120623
std_order_value,0.038737650016416464
total_loyalty_points,0.033243115275342155
avg_quantity,0.03034282456773167
recency_days,0.028036724407976353
order_value_range,0.027805697546359896
max_order,0.022824727943307217
momentum_monetary_90d,0.015443907148134033
monetary_90d,0.01425332854397004
monetary_60d,0.014164896157137698
avg_products_per_order,0.013047999854051006
momentum_monetary_60d,0.011577673605342695
segment_id_encoded,0.007602591334526257
loyalty_status_encoded,0.004840292991467707
frequency_90d,0.003178527112572308
momentum_frequency_60d,0.0003041634350978232
momentum_monetary_30d,0.0
frequency_60d,0.0
momentum_frequency_30d,0.0
ratio_30d_90d_monetary,0.0
ratio_30d_90d_frequency,0.0
frequency_30d,0.0
monetary_30d,0.0
