feature,importance
total_quantity,0.08359712723761187
avg_days_between_purchases,0.07301812543215462
total_monetary,0.06710512797637454
order_value_cv,0.06253652600537522
total_frequency,0.05900787073775891
total_products,0.057960755010967466
customer_tenure_days,0.05433548465534788
avg_order_value,0.05282816821477663
order_value_range,0.0513269549510918
num_stores_visited,0.05078110252384891
std_order_value,0.050116991072172754
max_order,0.04991856249210995
total_loyalty_points,0.049027293678005145
recency_days,0.048334210200612675
min_order,0.04692083990984263
avg_quantity,0.040478950149871025
avg_products_per_order,0.03693191188884244
segment_id_encoded,0.01626467288763985
momentum_monetary_90d,0.014767518605528546
monetary_90d,0.01439632187231751
loyalty_status_encoded,0.009280592110234014
monetary_60d,0.004265743500499031
momentum_monetary_60d,0.002638910340119554
momentum_frequency_60d,0.0016561067424220397
frequency_90d,0.0014993645018409282
frequency_60d,0.0010047673026340096
momentum_monetary_30d,0.0
momentum_frequency_30d,0.0
ratio_30d_90d_monetary,0.0
ratio_30d_90d_frequency,0.0
frequency_30d,0.0
monetary_30d,0.0
