feature,coefficient,abs_coefficient
num__frequency_total,85.15974317736809,85.15974317736809
cat__primary_region_Unknown,54.89872163103378,54.89872163103378
cat__primary_store_id_UNKNOWN,-26.141894303146458,26.141894303146458
cat__top_category_Unknown,-26.021729758227814,26.021729758227814
num__total_items_purchased,-25.160563784858883,25.160563784858883
num__monetary_30d,-25.087906669408344,25.087906669408344
cat__primary_store_id_S012,23.852843709374785,23.852843709374785
cat__top_category_Toys,23.252252132904985,23.252252132904985
num__avg_order_value_30d,22.786099322979904,22.786099322979904
num__unique_stores,-21.17550056020593,21.17550056020593
num__monetary_365d,18.13797660547994,18.13797660547994
num__monetary_total,-17.98476704789374,17.98476704789374
cat__primary_region_Northeast,-17.82883421887279,17.82883421887279
num__monetary_60d,16.838649085666056,16.838649085666056
cat__primary_store_id_S002,15.807323087721638,15.807323087721638
cat__primary_store_id_S009,-15.304227481488534,15.304227481488534
num__frequency_365d,-14.867196923826317,14.867196923826317
num__monetary_180d,-14.064682266995312,14.064682266995312
cat__primary_region_Midwest,-12.03235542569955,12.03235542569955
cat__top_category_Jewelry,-11.873719942286787,11.873719942286787
cat__preferred_day_Sunday,-11.036060117778955,11.036060117778955
cat__primary_store_id_S006,10.905661046276686,10.905661046276686
cat__top_category_Electronics,10.850608192288849,10.850608192288849
cat__top_category_Grocery,10.03461237521188,10.03461237521188
cat__top_category_Automotive,-9.732236147065528,9.732236147065528
cat__primary_region_West,-9.402778961829597,9.402778961829597
num__frequency_60d,-9.109111399730157,9.109111399730157
cat__primary_store_id_S007,-9.021666980460394,9.021666980460394
cat__loyalty_status_Bronze,8.86073411369437,8.86073411369437
num__avg_order_value_60d,-8.460807455376713,8.460807455376713
cat__segment_id_HS,-8.245689484799785,8.245689484799785
cat__preferred_day_Tuesday,8.046341371833389,8.046341371833389
cat__primary_store_id_S014,-7.916600081941867,7.916600081941867
cat__primary_region_South,-7.90637915529862,7.90637915529862
cat__primary_region_Southwest,-7.728373869331193,7.728373869331193
cat__segment_id_AR,7.6240178890245645,7.6240178890245645
num__monetary_90d,7.533733285009983,7.533733285009983
num__std_order_value,-7.207841095627771,7.207841095627771
num__unique_products,7.108831933026801,7.108831933026801
num__avg_order_value_90d,-7.056302468484496,7.056302468484496
num__pct_spend_jewelry,-6.808386402027249,6.808386402027249
num__pct_spend_electronics,-6.716895075609818,6.716895075609818
num__pct_spend_beauty,-6.681442466886063,6.681442466886063
cat__loyalty_status_Platinum,-6.446134030511816,6.446134030511816
num__frequency_90d,6.3664857758198385,6.3664857758198385
num__max_order_value,6.199003364895557,6.199003364895557
num__pct_spend_home_&_garden,-6.138255967916442,6.138255967916442
cat__top_category_Home & Garden,6.005022803640027,6.005022803640027
cat__primary_store_id_S008,-5.869113472905834,5.869113472905834
cat__top_category_Beauty,5.47551624817685,5.47551624817685
cat__preferred_day_Thursday,-5.416506750621794,5.416506750621794
cat__primary_store_id_S005,5.249631934032617,5.249631934032617
num__unique_regions,5.214871980454754,5.214871980454754
num__pct_spend_toys,-5.203069444567266,5.203069444567266
num__avg_order_value_180d,5.0211241090594605,5.0211241090594605
num__pct_spend_grocery,-4.938614005733953,4.938614005733953
cat__primary_store_id_S015,4.879912882263395,4.879912882263395
cat__preferred_day_Saturday,4.702885466321794,4.702885466321794
cat__top_category_Sports,-4.639462972934903,4.639462972934903
num__pct_spend_apparel,-4.548885258376785,4.548885258376785
num__pct_spend_sports,-4.48562975234065,4.48562975234065
cat__loyalty_status_Silver,-4.38950828500583,4.38950828500583
cat__primary_store_id_S011,4.381513148916562,4.381513148916562
cat__primary_store_id_S010,-3.8376207116483716,3.8376207116483716
cat__top_category_Books,-3.7501836497714987,3.7501836497714987
num__total_loyalty_points,3.544257820143854,3.544257820143854
cat__primary_store_id_S001,3.474947558688438,3.474947558688438
num__avg_days_between_purchases,3.2425721176929905,3.2425721176929905
num__pct_spend_books,-2.9990991770405913,2.9990991770405913
cat__primary_store_id_S003,-2.7883165915484707,2.7883165915484707
num__frequency_30d,2.772881672759732,2.772881672759732
num__pct_spend_unknown,-2.7241099857379467,2.7241099857379467
num__frequency_180d,-2.645369915210531,2.645369915210531
cat__preferred_time_of_day_evening,-2.45451155494428,2.45451155494428
num__std_days_between_purchases,2.214318537779995,2.214318537779995
num__weekend_transaction_pct,2.1230064618194664,2.1230064618194664
num__avg_order_value,-2.0866771780285065,2.0866771780285065
cat__primary_store_id_S004,2.04949741167977,2.04949741167977
cat__loyalty_status_Gold,1.9749082018304998,1.9749082018304998
cat__segment_id_LP,1.7843075557771186,1.7843075557771186
cat__preferred_time_of_day_morning,1.6201502779903016,1.6201502779903016
cat__preferred_day_Friday,1.6111732982761187,1.6111732982761187
cat__preferred_day_Monday,1.1116016797314812,1.1116016797314812
cat__segment_id_HC,-1.0902874444313453,1.0902874444313453
num__recency_days,0.9887056713935118,0.9887056713935118
cat__preferred_day_Wednesday,0.9805650522388012,0.9805650522388012
num__min_order_value,-0.8607040351091934,0.8607040351091934
num__unique_categories,-0.8215258445059064,0.8215258445059064
num__avg_order_value_365d,0.8150085954270523,0.8150085954270523
num__pct_spend_automotive,-0.7597623138137237,0.7597623138137237
cat__preferred_time_of_day_night,0.6505883980496199,0.6505883980496199
num__tenure_days,0.5481429408200853,0.5481429408200853
cat__top_category_Apparel,0.39932071806133074,0.39932071806133074
cat__primary_store_id_S013,0.2781088441843318,0.2781088441843318
cat__preferred_time_of_day_afternoon,0.1837728789032722,0.1837728789032722
num__avg_purchase_hour,-0.14503113887401398,0.14503113887401398
cat__segment_id_NR,-0.07234851556893696,0.07234851556893696
