feature,importance
num__monetary_total,0.05419779896509164
num__total_items_purchased,0.03851580573982953
num__monetary_365d,0.036538976457608986
num__avg_days_between_purchases,0.03426733930783625
num__frequency_total,0.032541878314267955
num__std_days_between_purchases,0.03150659610607933
num__unique_products,0.030277549371233056
num__min_order_value,0.027495272817286885
num__pct_spend_home_&_garden,0.026921391087246904
num__pct_spend_automotive,0.026225408904852424
num__avg_order_value_365d,0.02561102641829919
num__pct_spend_sports,0.02559023097873901
num__recency_days,0.025227958815568986
num__tenure_days,0.0250631695737385
num__max_order_value,0.02501508176023329
num__total_loyalty_points,0.023911321923780485
num__pct_spend_electronics,0.023678358329247667
num__monetary_180d,0.02365537833142191
num__avg_order_value,0.023339416501450994
num__pct_spend_toys,0.02261282544694928
num__pct_spend_books,0.02260287530187867
num__avg_purchase_hour,0.022369241905679824
num__pct_spend_apparel,0.022273428605341157
num__unique_stores,0.022173872250944582
num__pct_spend_jewelry,0.021252850178173466
num__std_order_value,0.021157054867887593
num__pct_spend_grocery,0.02082934818977974
num__pct_spend_beauty,0.019475643746102302
num__avg_order_value_180d,0.01929954866612231
num__monetary_60d,0.017334758034305776
num__frequency_365d,0.01697827305085856
num__monetary_90d,0.016936989151916562
num__avg_order_value_90d,0.015873348789667424
num__weekend_transaction_pct,0.01380917474475592
num__avg_order_value_60d,0.013082124592612978
num__frequency_180d,0.012625959917230114
num__unique_regions,0.01136345859884998
num__unique_categories,0.0105259690082937
num__frequency_90d,0.008223063957143683
num__pct_spend_unknown,0.00796961156230312
num__avg_order_value_30d,0.007289526171848664
num__monetary_30d,0.0062034624359805935
cat__loyalty_status_Bronze,0.00362858550932678
cat__primary_store_id_S012,0.0035251575630216845
cat__primary_region_Southwest,0.003384672491542856
cat__loyalty_status_Silver,0.0029775733747790857
cat__primary_region_West,0.002633159311528594
cat__preferred_time_of_day_morning,0.002631899317397066
cat__segment_id_HS,0.0023959918313113124
cat__segment_id_AR,0.0023771098875898598
num__frequency_60d,0.0023526018346484144
cat__primary_store_id_S002,0.002335969159433429
cat__segment_id_HC,0.00217806492233804
cat__top_category_Electronics,0.002053035399980056
cat__segment_id_NR,0.0020494238781179467
cat__preferred_time_of_day_afternoon,0.002045404265384054
cat__primary_region_Northeast,0.0019391859602271683
cat__top_category_Apparel,0.001822504175733271
cat__preferred_day_Monday,0.0018166627222848278
cat__top_category_Toys,0.0017962645872854493
cat__preferred_day_Tuesday,0.0017861230695666416
cat__loyalty_status_Gold,0.0015832368865875885
cat__top_category_Beauty,0.0015515289846444965
cat__preferred_day_Wednesday,0.0015026507842570535
cat__primary_region_South,0.0012147987142825003
cat__segment_id_LP,0.0011297469389896602
cat__preferred_day_Saturday,0.0010502297177984268
cat__primary_store_id_S005,0.000981225883004375
cat__primary_store_id_S004,0.0009742325683331187
num__frequency_30d,0.0009480273360739113
cat__top_category_Grocery,0.0008937115497148614
cat__preferred_time_of_day_evening,0.0008817325326581935
cat__primary_store_id_S001,0.0008476635014913044
cat__top_category_Home & Garden,0.0007370233456842013
cat__top_category_Automotive,0.0007296625764728664
cat__preferred_day_Friday,0.0007023432164143023
cat__preferred_day_Thursday,0.0006769765562529697
cat__top_category_Books,0.0006658293611422541
cat__top_category_Sports,0.0005468398201744271
cat__primary_store_id_S006,0.00047998243323483483
cat__top_category_Jewelry,0.0004774793170464743
cat__primary_region_Midwest,0.00047255556868864445
cat__preferred_day_Sunday,0.00041218154210870023
cat__primary_store_id_S015,0.0003731825983491849
cat__primary_store_id_S011,0.0003321782339536277
cat__primary_store_id_S013,0.00032818093432247905
cat__loyalty_status_Platinum,0.0003147810536653228
cat__primary_store_id_S010,0.00028112839308730127
cat__preferred_time_of_day_night,0.0002801840492038198
cat__primary_store_id_S008,0.0002671948528497679
cat__primary_store_id_S014,0.0002608544421657553
cat__primary_store_id_S003,0.00025337945122385177
cat__primary_store_id_S007,0.00019698148526835273
cat__primary_store_id_S009,7.120508816917923e-05
cat__primary_region_Unknown,9.332142750631082e-06
cat__top_category_Unknown,0.0
cat__primary_store_id_UNKNOWN,0.0
