feature,importance
total_quantity,0.17750517338852884
num_stores_visited,0.10811125720232645
avg_days_between_purchases,0.09249894111606839
total_monetary,0.07317550483027924
std_order_value,0.05347173831318772
total_frequency,0.05237315727164855
max_order,0.0521210519758461
order_value_cv,0.04917565280469519
order_value_range,0.04818916413222892
customer_tenure_days,0.04671436153420954
min_order,0.04426264284348672
total_products,0.03938600771886277
avg_order_value,0.03826112201611845
monetary_90d,0.03096646997479101
avg_products_per_order,0.02543218179569013
total_loyalty_points,0.017936403767209362
recency_days,0.0176940611298943
avg_quantity,0.01046472374267171
momentum_monetary_90d,0.009109710855155068
segment_encoded,0.0054396148752229945
loyalty_encoded,0.004335647628373841
frequency_90d,0.0033754110835048034
momentum_monetary_30d,0.0
momentum_frequency_30d,0.0
ratio_30d_90d,0.0
frequency_60d,0.0
monetary_60d,0.0
frequency_30d,0.0
monetary_30d,0.0
