feature,importance
total_monetary,0.10008771584215721
avg_days_between_purchases,0.08877283745316686
avg_order_value,0.08157376691633557
max_order,0.07950107999689111
recency_days,0.07853815229209266
total_quantity,0.06745554647382379
order_value_cv,0.06219396998999751
total_loyalty_points,0.05591968400490697
avg_quantity,0.05554743194925849
min_order,0.04566130678589323
total_products,0.044691510407638836
customer_tenure_days,0.038507482783089894
avg_products_per_order,0.038409963548633845
order_value_range,0.03256745387446027
total_frequency,0.03069220292936573
segment_encoded,0.02939295635856439
std_order_value,0.026850857007009805
momentum_monetary_90d,0.012738332306788948
monetary_90d,0.012607182285167577
monetary_60d,0.005779700417021398
loyalty_encoded,0.005569943742219946
num_stores_visited,0.005370044917211566
frequency_60d,0.001570877718304551
frequency_90d,0.0
momentum_monetary_30d,0.0
momentum_frequency_30d,0.0
ratio_30d_90d,0.0
frequency_30d,0.0
monetary_30d,0.0
