feature,importance
num__frequency_total,0.027932566
cat__primary_region_Southwest,0.018522147
cat__primary_store_id_S012,0.018028248
num__frequency_90d,0.01615221
num__monetary_60d,0.01550165
num__frequency_365d,0.015336729
num__monetary_total,0.01513867
cat__loyalty_status_Gold,0.015102935
num__pct_spend_sports,0.015033991
num__pct_spend_electronics,0.014399213
num__pct_spend_home_&_garden,0.01422548
num__std_days_between_purchases,0.013509613
cat__top_category_Toys,0.0135074165
cat__top_category_Beauty,0.013496949
cat__primary_region_West,0.013364274
num__weekend_transaction_pct,0.013338268
cat__primary_store_id_S005,0.013295344
num__pct_spend_toys,0.013263833
cat__segment_id_LP,0.013251577
cat__primary_store_id_S007,0.013237792
cat__loyalty_status_Bronze,0.013190267
num__monetary_180d,0.013161386
num__tenure_days,0.013013011
num__unique_products,0.0129754525
num__avg_order_value_365d,0.012973459
num__avg_order_value_180d,0.012869271
num__avg_days_between_purchases,0.012713058
num__pct_spend_automotive,0.01246921
cat__top_category_Electronics,0.012384152
cat__preferred_day_Tuesday,0.012335488
num__max_order_value,0.012285265
num__pct_spend_beauty,0.012248869
num__pct_spend_apparel,0.012224707
cat__top_category_Books,0.012108331
num__monetary_30d,0.012063408
cat__primary_store_id_S013,0.012024035
num__pct_spend_jewelry,0.011916175
cat__top_category_Home & Garden,0.011841376
num__monetary_90d,0.0117635615
num__avg_purchase_hour,0.011638961
num__min_order_value,0.011397636
num__total_loyalty_points,0.011224136
num__pct_spend_books,0.011218441
num__avg_order_value_30d,0.011112513
num__avg_order_value_90d,0.01108885
cat__primary_store_id_S015,0.011031564
cat__segment_id_AR,0.011000751
num__monetary_365d,0.010960662
cat__loyalty_status_Silver,0.010939791
num__frequency_180d,0.010909228
num__total_items_purchased,0.010903528
num__recency_days,0.010845381
cat__primary_store_id_S006,0.010686882
num__avg_order_value,0.010667468
num__pct_spend_grocery,0.010652184
cat__primary_store_id_S002,0.0106122885
cat__primary_region_South,0.01059888
cat__segment_id_NR,0.010383075
cat__preferred_day_Monday,0.01024082
num__unique_regions,0.010205585
num__std_order_value,0.010102921
num__avg_order_value_60d,0.010049105
num__pct_spend_unknown,0.010042462
num__unique_categories,0.0099956505
num__unique_stores,0.009773026
cat__primary_store_id_S011,0.009287726
cat__preferred_day_Thursday,0.0092760315
cat__preferred_time_of_day_evening,0.009092401
num__frequency_30d,0.008975978
cat__primary_store_id_S004,0.007997502
cat__top_category_Grocery,0.007949593
cat__preferred_day_Wednesday,0.007935842
cat__preferred_day_Saturday,0.0072288825
cat__preferred_time_of_day_morning,0.007081037
cat__top_category_Automotive,0.006873326
cat__primary_store_id_S001,0.006864179
cat__primary_region_Northeast,0.0068001254
cat__segment_id_HC,0.006761675
cat__top_category_Jewelry,0.0064536887
cat__segment_id_HS,0.0064355875
cat__preferred_time_of_day_afternoon,0.0064280396
cat__top_category_Apparel,0.0064139687
cat__primary_store_id_S003,0.006362897
cat__primary_region_Midwest,0.006301506
cat__preferred_day_Sunday,0.0062022842
cat__primary_store_id_S010,0.0060442463
cat__primary_store_id_S014,0.0053980164
num__frequency_60d,0.0051374715
cat__primary_store_id_S009,0.004794828
cat__preferred_day_Friday,0.0039935247
cat__preferred_time_of_day_night,0.0038918124
cat__top_category_Sports,0.0035366812
cat__top_category_Unknown,0.0
cat__primary_store_id_S008,0.0
cat__loyalty_status_Platinum,0.0
cat__primary_store_id_UNKNOWN,0.0
cat__primary_region_Unknown,0.0
